x,y
-1.000000,0.037016
-0.998000,0.038173
-0.996000,0.039075
-0.994000,0.039760
-0.992000,0.040263
-0.990000,0.040615
-0.988000,0.040843
-0.986000,0.040971
-0.984000,0.041021
-0.982000,0.041012
-0.980000,0.040959
-0.978000,0.040877
-0.976000,0.040778
-0.974000,0.040673
-0.972000,0.040570
-0.970000,0.040476
-0.968000,0.040397
-0.966000,0.040339
-0.964000,0.040303
-0.962000,0.040294
-0.960000,0.040313
-0.958000,0.040362
-0.956000,0.040439
-0.954000,0.040547
-0.952000,0.040684
-0.950000,0.040849
-0.948000,0.041040
-0.946000,0.041258
-0.944000,0.041498
-0.942000,0.041761
-0.940000,0.042043
-0.938000,0.042343
-0.936000,0.042657
-0.934000,0.042985
-0.932000,0.043324
-0.930000,0.043671
-0.928000,0.044025
-0.926000,0.044383
-0.924000,0.044743
-0.922000,0.045104
-0.920000,0.045464
-0.918000,0.045821
-0.916000,0.046173
-0.914000,0.046519
-0.912000,0.046858
-0.910000,0.047189
-0.908000,0.047510
-0.906000,0.047821
-0.904000,0.048121
-0.902000,0.048409
-0.900000,0.048685
-0.898000,0.048949
-0.896000,0.049200
-0.894000,0.049438
-0.892000,0.049664
-0.890000,0.049876
-0.888000,0.050077
-0.886000,0.050264
-0.884000,0.050440
-0.882000,0.050605
-0.880000,0.050759
-0.878000,0.050902
-0.876000,0.051036
-0.874000,0.051161
-0.872000,0.051277
-0.870000,0.051386
-0.868000,0.051489
-0.866000,0.051586
-0.864000,0.051678
-0.862000,0.051766
-0.860000,0.051851
-0.858000,0.051933
-0.856000,0.052015
-0.854000,0.052096
-0.852000,0.052178
-0.850000,0.052261
-0.848000,0.052346
-0.846000,0.052435
-0.844000,0.052527
-0.842000,0.052624
-0.840000,0.052726
-0.838000,0.052835
-0.836000,0.052950
-0.834000,0.053073
-0.832000,0.053204
-0.830000,0.053344
-0.828000,0.053492
-0.826000,0.053651
-0.824000,0.053819
-0.822000,0.053998
-0.820000,0.054187
-0.818000,0.054388
-0.816000,0.054599
-0.814000,0.054823
-0.812000,0.055058
-0.810000,0.055304
-0.808000,0.055563
-0.806000,0.055833
-0.804000,0.056115
-0.802000,0.056408
-0.800000,0.056713
-0.798000,0.057030
-0.796000,0.057358
-0.794000,0.057697
-0.792000,0.058047
-0.790000,0.058407
-0.788000,0.058777
-0.786000,0.059158
-0.784000,0.059547
-0.782000,0.059946
-0.780000,0.060353
-0.778000,0.060769
-0.776000,0.061192
-0.774000,0.061623
-0.772000,0.062060
-0.770000,0.062503
-0.768000,0.062953
-0.766000,0.063407
-0.764000,0.063867
-0.762000,0.064330
-0.760000,0.064797
-0.758000,0.065268
-0.756000,0.065740
-0.754000,0.066215
-0.752000,0.066692
-0.750000,0.067169
-0.748000,0.067647
-0.746000,0.068125
-0.744000,0.068603
-0.742000,0.069080
-0.740000,0.069555
-0.738000,0.070028
-0.736000,0.070500
-0.734000,0.070968
-0.732000,0.071434
-0.730000,0.071896
-0.728000,0.072355
-0.726000,0.072809
-0.724000,0.073259
-0.722000,0.073705
-0.720000,0.074146
-0.718000,0.074581
-0.716000,0.075012
-0.714000,0.075437
-0.712000,0.075856
-0.710000,0.076270
-0.708000,0.076678
-0.706000,0.077080
-0.704000,0.077477
-0.702000,0.077867
-0.700000,0.078252
-0.698000,0.078631
-0.696000,0.079004
-0.694000,0.079372
-0.692000,0.079734
-0.690000,0.080091
-0.688000,0.080443
-0.686000,0.080789
-0.684000,0.081131
-0.682000,0.081469
-0.680000,0.081802
-0.678000,0.082131
-0.676000,0.082457
-0.674000,0.082780
-0.672000,0.083099
-0.670000,0.083416
-0.668000,0.083731
-0.666000,0.084044
-0.664000,0.084355
-0.662000,0.084666
-0.660000,0.084976
-0.658000,0.085285
-0.656000,0.085596
-0.654000,0.085907
-0.652000,0.086219
-0.650000,0.086534
-0.648000,0.086850
-0.646000,0.087170
-0.644000,0.087492
-0.642000,0.087819
-0.640000,0.088150
-0.638000,0.088485
-0.636000,0.088826
-0.634000,0.089173
-0.632000,0.089526
-0.630000,0.089886
-0.628000,0.090253
-0.626000,0.090628
-0.624000,0.091011
-0.622000,0.091403
-0.620000,0.091804
-0.618000,0.092215
-0.616000,0.092635
-0.614000,0.093067
-0.612000,0.093509
-0.610000,0.093963
-0.608000,0.094428
-0.606000,0.094905
-0.604000,0.095395
-0.602000,0.095897
-0.600000,0.096413
-0.598000,0.096942
-0.596000,0.097485
-0.594000,0.098041
-0.592000,0.098612
-0.590000,0.099198
-0.588000,0.099798
-0.586000,0.100413
-0.584000,0.101043
-0.582000,0.101688
-0.580000,0.102348
-0.578000,0.103024
-0.576000,0.103716
-0.574000,0.104423
-0.572000,0.105146
-0.570000,0.105884
-0.568000,0.106639
-0.566000,0.107409
-0.564000,0.108194
-0.562000,0.108995
-0.560000,0.109812
-0.558000,0.110644
-0.556000,0.111492
-0.554000,0.112355
-0.552000,0.113233
-0.550000,0.114126
-0.548000,0.115033
-0.546000,0.115955
-0.544000,0.116892
-0.542000,0.117842
-0.540000,0.118807
-0.538000,0.119785
-0.536000,0.120776
-0.534000,0.121780
-0.532000,0.122797
-0.530000,0.123827
-0.528000,0.124869
-0.526000,0.125922
-0.524000,0.126987
-0.522000,0.128063
-0.520000,0.129149
-0.518000,0.130246
-0.516000,0.131353
-0.514000,0.132470
