x,y
0.000000,0.000000
0.013000,0.976188
0.026000,1.954667
0.039000,2.935307
0.052000,3.917986
0.065000,4.902583
0.078000,5.888982
0.091000,6.877068
0.104000,7.866733
0.117000,8.857870
0.130000,9.850374
0.143000,10.844146
0.156000,11.839090
0.169000,12.835110
0.182000,13.832116
0.195000,14.830020
0.208000,15.828736
0.221000,16.828183
0.234000,17.828282
0.247000,18.828954
0.260000,19.830126
0.273000,20.831727
0.286000,21.833688
0.299000,22.835942
0.312000,23.838425
0.325000,24.841076
0.338000,25.843836
0.351000,26.846647
0.364000,27.849455
0.377000,28.852209
0.390000,29.854856
0.403000,30.857350
0.416000,31.859645
0.429000,32.861695
0.442000,33.863460
0.455000,34.864899
0.468000,35.865973
0.481000,36.866648
0.494000,37.866887
0.507000,38.866658
0.520000,39.865930
0.533000,40.864674
0.546000,41.862862
0.559000,42.860467
0.572000,43.857466
0.585000,44.853834
0.598000,45.849551
0.611000,46.844596
0.624000,47.838950
0.637000,48.832597
0.650000,49.825519
0.663000,50.817703
0.676000,51.809135
0.689000,52.799802
0.702000,53.789694
0.715000,54.778800
0.728000,55.767113
0.741000,56.754624
0.754000,57.741327
0.767000,58.727216
0.780000,59.712288
0.793000,60.696537
0.806000,61.679963
0.819000,62.662562
0.832000,63.644335
0.845000,64.625282
0.858000,65.605403
0.871000,66.584701
0.884000,67.563177
0.897000,68.540836
0.910000,69.517681
0.923000,70.493718
0.936000,71.468951
0.949000,72.443386
0.962000,73.417031
0.975000,74.389893
0.988000,75.361980
1.001000,76.333300
1.014000,77.303862
1.027000,78.273677
1.040000,79.242753
1.053000,80.211103
1.066000,81.178736
1.079000,82.145664
1.092000,83.111900
1.105000,84.077455
1.118000,85.042342
1.131000,86.006574
1.144000,86.970165
1.157000,87.933129
1.170000,88.895479
1.183000,89.857229
1.196000,90.818395
1.209000,91.778992
1.222000,92.739033
1.235000,93.698536
1.248000,94.657515
1.261000,95.615986
1.274000,96.573965
1.287000,97.531468
1.300000,98.488511
1.313000,99.445111
1.326000,100.401285
1.339000,101.357049
1.352000,102.312419
1.365000,103.267413
1.378000,104.222048
1.391000,105.176340
1.404000,106.130307
1.417000,107.083966
1.430000,108.037333
1.443000,108.990427
1.456000,109.943263
1.469000,110.895860
1.482000,111.848234
1.495000,112.800403
1.508000,113.752383
1.521000,114.704192
1.534000,115.655847
1.547000,116.607364
1.560000,117.558761
1.573000,118.510054
1.586000,119.461260
1.599000,120.412396
1.612000,121.363478
1.625000,122.314523
1.638000,123.265546
1.651000,124.216565
1.664000,125.167596
1.677000,126.118653
1.690000,127.069754
1.703000,128.020914
1.716000,128.972148
1.729000,129.923472
1.742000,130.874900
1.755000,131.826449
1.768000,132.778133
1.781000,133.729966
1.794000,134.681964
1.807000,135.634141
1.820000,136.586510
1.833000,137.539086
1.846000,138.491882
1.859000,139.444913
1.872000,140.398191
1.885000,141.351730
1.898000,142.305543
1.911000,143.259642
1.924000,144.214041
1.937000,145.168751
1.950000,146.123785
1.963000,147.079154
1.976000,148.034870
1.989000,148.990946
2.002000,149.947391
2.015000,150.904217
2.028000,151.861435
2.041000,152.819055
2.054000,153.777088
2.067000,154.735544
2.080000,155.694433
2.093000,156.653763
2.106000,157.613546
2.119000,158.573789
2.132000,159.534502
2.145000,160.495693
2.158000,161.457372
2.171000,162.419545
2.184000,163.382221
2.197000,164.345408
2.210000,165.309114
2.223000,166.273345
2.236000,167.238109
2.249000,168.203411
2.262000,169.169260
2.275000,170.135661
2.288000,171.102621
