x,y
-1.732051,0.877383
-1.730656,0.887128
-1.729241,0.896560
-1.727806,0.905686
-1.726352,0.914512
-1.724878,0.923044
-1.723386,0.931289
-1.721875,0.939252
-1.720346,0.946942
-1.718799,0.954363
-1.717236,0.961522
-1.715655,0.968426
-1.714059,0.975081
-1.712446,0.981493
-1.710819,0.987669
-1.709176,0.993615
-1.707518,0.999338
-1.705846,1.004844
-1.704161,1.010138
-1.702462,1.015229
-1.700750,1.020122
-1.699026,1.024823
-1.697290,1.029339
-1.695541,1.033676
-1.693782,1.037841
-1.692012,1.041839
-1.690231,1.045679
-1.688440,1.049364
-1.686640,1.052903
-1.684830,1.056302
-1.683012,1.059567
-1.681186,1.062703
-1.679351,1.065719
-1.677509,1.068619
-1.675660,1.071411
-1.673804,1.074101
-1.671942,1.076695
-1.670074,1.079200
-1.668200,1.081622
-1.666322,1.083967
-1.664439,1.086242
-1.662552,1.088453
-1.660661,1.090606
-1.658767,1.092708
-1.656869,1.094766
-1.654970,1.096786
-1.653068,1.098773
-1.651164,1.100735
-1.649260,1.102678
-1.647354,1.104608
-1.645448,1.106532
-1.643542,1.108455
-1.641637,1.110385
-1.639732,1.112328
-1.637829,1.114290
-1.635927,1.116278
-1.634027,1.118297
-1.632130,1.120355
-1.630236,1.122457
-1.628345,1.124611
-1.626458,1.126822
-1.624575,1.129097
-1.622696,1.131442
-1.620823,1.133863
-1.618955,1.136368
-1.617093,1.138962
-1.615237,1.141652
-1.613388,1.144444
-1.611546,1.147344
-1.609711,1.150360
-1.607884,1.153497
-1.606066,1.156761
-1.604257,1.160160
-1.602456,1.163699
-1.600666,1.167385
-1.598885,1.171224
-1.597115,1.175223
-1.595355,1.179387
-1.593607,1.183725
-1.591871,1.188240
-1.590146,1.192942
-1.588434,1.197834
-1.586736,1.202925
-1.585050,1.208220
-1.583378,1.213725
-1.581721,1.219448
-1.580078,1.225394
-1.578450,1.231570
-1.576838,1.237982
-1.575241,1.244637
-1.573661,1.251541
-1.572097,1.258701
-1.570551,1.266122
-1.569022,1.273811
-1.567511,1.281775
-1.566018,1.290019
-1.564545,1.298551
-1.563090,1.307377
-1.561655,1.316503
-1.560240,1.325935
-1.558846,1.335681
-1.555183,1.344728
-1.551638,1.353313
-1.548207,1.361445
-1.544889,1.369134
-1.541680,1.376388
-1.538579,1.383219
-1.535583,1.389634
-1.532689,1.395643
-1.529896,1.401256
-1.527200,1.406482
-1.524600,1.411330
-1.522094,1.415811
-1.519678,1.419933
-1.517350,1.423706
-1.515108,1.427140
-1.512950,1.430243
-1.510873,1.433025
-1.508875,1.435496
-1.506953,1.437665
-1.505105,1.439542
-1.503329,1.441135
-1.501622,1.442455
-1.499982,1.443511
-1.498406,1.444312
-1.496892,1.444867
-1.495438,1.445187
-1.494042,1.445280
-1.492700,1.445157
-1.491411,1.444825
-1.490172,1.444296
-1.488981,1.443578
-1.487835,1.442680
-1.486732,1.441613
-1.485669,1.440385
-1.484645,1.439007
-1.483657,1.437487
-1.482702,1.435834
-1.481778,1.434060
-1.480883,1.432171
-1.480014,1.430180
-1.479169,1.428093
-1.478345,1.425922
-1.477541,1.423675
-1.476753,1.421363
-1.475979,1.418993
-1.475218,1.416577
-1.474466,1.414123
-1.473721,1.411640
-1.472981,1.409139
-1.472243,1.406628
-1.471506,1.404117
-1.470765,1.401616
-1.470021,1.399133
-1.469269,1.396679
-1.468507,1.394262
-1.467734,1.391893
-1.466946,1.389580
-1.466141,1.387334
-1.465318,1.385163
-1.464473,1.383076
-1.463604,1.381084
-1.462708,1.379196
-1.461784,1.377421
-1.460830,1.375769
-1.459841,1.374249
-1.458817,1.372870
-1.457755,1.371643
-1.456652,1.370575
-1.455506,1.369678
-1.454315,1.368960
-1.453075,1.368430
-1.451786,1.368099
-1.450445,1.367975
-1.449048,1.368069
-1.447594,1.368388
-1.446081,1.368944
-1.444505,1.369745
-1.442865,1.370801
-1.441158,1.372121
-1.439382,1.373714
-1.437534,1.375591
-1.435612,1.377760
-1.433614,1.380231
-1.431537,1.383013
-1.429378,1.386116
-1.427137,1.389550
-1.424809,1.393323
-1.422393,1.397445
-1.419886,1.401925
-1.417286,1.406774
-1.414591,1.412000
-1.411797,1.417613
-1.408904,1.423622
-1.405908,1.430037
-1.402806,1.436867
-1.399598,1.444122
-1.396279,1.451811
-1.392848,1.459943
-1.389303,1.468528
-1.385641,1.477575
-1.379729,1.485332
-1.374071,1.492667
-1.368660,1.499590
-1.363493,1.506110
-1.358564,1.512234
-1.353867,1.517972
-1.349397,1.523332
-1.345150,1.528322
-1.341120,1.532952
-1.337302,1.537229
-1.333691,1.541163
-1.330282,1.544762
-1.327069,1.548034
-1.324047,1.550988
-1.321211,1.553634
-1.318556,1.555978
-1.316077,1.558031
-1.313769,1.559800
-1.311626,1.561294
-1.309643,1.562521
-1.307815,1.563492
-1.306137,1.564213
-1.304604,1.564693
-1.303211,1.564941
-1.301952,1.564967
-1.300822,1.564777
-1.299816,1.564381
-1.298929,1.563788
-1.298156,1.563006
-1.297492,1.562043
-1.296931,1.560908
-1.296468,1.559610
-1.296098,1.558158
-1.295816,1.556560
-1.295617,1.554824
-1.295495,1.552959
-1.295446,1.550974
-1.295464,1.548877
-1.295543,1.546678
-1.295680,1.544383
-1.295869,1.542003
-1.296104,1.539546
-1.296380,1.537020
-1.296692,1.534433
-1.297036,1.531795
-1.297405,1.529115
-1.297796,1.526399
-1.298201,1.523659
-1.298617,1.520900
-1.299038,1.518134
-1.299459,1.515367
-1.299875,1.512609
-1.300281,1.509868
-1.300671,1.507153
-1.301040,1.504472
-1.301384,1.501834
-1.301696,1.499248
-1.301973,1.496722
-1.302208,1.494264
-1.302396,1.491884
-1.302533,1.489590
-1.302613,1.487390
-1.302631,1.485293
-1.302581,1.483308
-1.302460,1.481444
-1.302260,1.479708
-1.301978,1.478109
-1.301608,1.476657
-1.301146,1.475359
-1.300584,1.474225
-1.299920,1.473262
-1.299147,1.472480
-1.298260,1.471886
-1.297254,1.471490
-1.296124,1.471301
-1.294865,1.471326
-1.293472,1.471574
-1.291939,1.472055
-1.290261,1.472776
-1.288433,1.473746
-1.286451,1.474974
-1.284308,1.476468
-1.281999,1.478237
-1.279520,1.480289
-1.276865,1.482634
-1.274030,1.485279
-1.271008,1.488234
-1.267795,1.491506
-1.264385,1.495105
-1.260774,1.499038
-1.256956,1.503316
-1.252926,1.507945
-1.248679,1.512936
-1.244209,1.518295
-1.239513,1.524033
-1.234583,1.530157
-1.229416,1.536677
-1.224006,1.543600
-1.218347,1.550936
-1.212436,1.558692
-1.204427,1.564257
-1.196800,1.569512
-1.189545,1.574463
-1.182654,1.579117
-1.176121,1.583479
-1.169937,1.587557
-1.164095,1.591355
-1.158586,1.594882
-1.153404,1.598143
-1.148539,1.601144
-1.143986,1.603892
-1.139735,1.606393
-1.135778,1.608654
-1.132110,1.610680
-1.128720,1.612479
-1.125603,1.614056
-1.122749,1.615417
-1.120151,1.616570
-1.117802,1.617520
-1.115694,1.618274
-1.113818,1.618838
-1.112167,1.619218
-1.110734,1.619421
-1.109511,1.619454
-1.108489,1.619321
-1.107661,1.619031
-1.107020,1.618588
-1.106557,1.618000
-1.106265,1.617272
-1.106136,1.616412
-1.106162,1.615425
-1.106336,1.614318
-1.106649,1.613096
-1.107094,1.611768
-1.107664,1.610337
-1.108350,1.608812
-1.109145,1.607199
-1.110040,1.605502
-1.111029,1.603730
-1.112103,1.601889
-1.113255,1.599984
-1.114476,1.598022
-1.115760,1.596009
-1.117098,1.593953
-1.118483,1.591858
-1.119906,1.589731
-1.121361,1.587579
-1.122839,1.585408
-1.124332,1.583225
-1.125833,1.581035
