t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0 0.841471 -1.1865e-13 0.540302 0.841471 1.08265e-13 0.540302
0.001 0.839646 0.00521552 0.541364 0.839678 0.0056222 0.541409
0.002 0.837821 0.0104303 0.542427 0.837885 0.0112435 0.542517
0.003 0.835996 0.0156437 0.543489 0.83609 0.0168629 0.543625
0.004 0.834169 0.0208549 0.544553 0.834294 0.0224795 0.544734
0.005 0.832341 0.0260632 0.545617 0.832497 0.0280923 0.545844
0.006 0.830512 0.0312679 0.546683 0.830697 0.0337005 0.546956
0.007 0.82868 0.0364682 0.547751 0.828894 0.0393031 0.548069
0.008 0.826846 0.0416635 0.54882 0.827087 0.0448991 0.549185
0.009 0.825009 0.0468531 0.549892 0.825278 0.0504877 0.550303
0.01 0.823169 0.0520361 0.550965 0.823463 0.0560678 0.551424
0.011 0.821326 0.0572119 0.552042 0.821644 0.0616387 0.552548
0.012 0.819478 0.0623798 0.553121 0.81982 0.0671992 0.553675
0.013 0.817627 0.067539 0.554203 0.817991 0.0727486 0.554806
0.014 0.815772 0.0726889 0.555289 0.816155 0.0782857 0.555941
0.015 0.813911 0.0778286 0.556379 0.814313 0.0838099 0.55708
0.016 0.812046 0.0829575 0.557472 0.812463 0.08932 0.558224
0.017 0.810175 0.0880748 0.55857 0.810606 0.0948151 0.559373
0.018 0.808298 0.0931799 0.559672 0.808741 0.100294 0.560526
0.019 0.806415 0.098272 0.560779 0.806868 0.105757 0.561686
0.02 0.804526 0.10335 0.561891 0.804985 0.111202 0.562851
0.021 0.802629 0.108414 0.563008 0.803093 0.116628 0.564022
0.022 0.800726 0.113463 0.56413 0.801192 0.122034 0.5652
0.023 0.798815 0.118496 0.565258 0.79928 0.12742 0.566384
0.024 0.796896 0.123512 0.566393 0.797357 0.132784 0.567576
0.025 0.79497 0.128511 0.567534 0.795423 0.138126 0.568774
0.026 0.793034 0.133492 0.568681 0.793477 0.143445 0.569981
0.027 0.79109 0.138454 0.569835 0.791519 0.148739 0.571195
0.028 0.789136 0.143397 0.570996 0.789548 0.154008 0.572417
0.029 0.787173 0.148319 0.572164 0.787564 0.159251 0.573649
0.03 0.7852 0.153221 0.57334 0.785566 0.164467 0.574888
0.031 0.783217 0.158101 0.574524 0.783554 0.169655 0.576138
0.032 0.781223 0.162958 0.575716 0.781528 0.174814 0.577396
0.033 0.779219 0.167793 0.576917 0.779486 0.179943 0.578664
0.034 0.777203 0.172603 0.578126 0.777429 0.185041 0.579943
0.035 0.775175 0.177389 0.579344 0.775357 0.190107 0.581232
0.036 0.773136 0.18215 0.580571 0.773267 0.195141 0.582531
0.037 0.771084 0.186885 0.581808 0.771161 0.200141 0.583842
0.038 0.769019 0.191593 0.583054 0.769037 0.205106 0.585163
0.039 0.766942 0.196273 0.584311 0.766895 0.210036 0.586497
0.04 0.764851 0.200926 0.585577 0.764735 0.21493 0.587842
0.041 0.762747 0.20555 0.586854 0.762556 0.219786 0.5892
0.042 0.760629 0.210144 0.588142 0.760358 0.224604 0.59057
0.043 0.758496 0.214707 0.589441 0.758141 0.229383 0.591952
