x f[0] f[1] f[2] f[3] f[0,1] f[1,2] f[2,3] f[0,1,2] f[1,2,3] f[0,1,2,3]
0.000000 0.000000 1.000000 4.000000 9.000000 1.000000 3.000000 5.000000 1.000000 1.000000 0.000000
0.010000 0.000000 0.980100 3.960100 8.940100 0.980100 2.980000 4.980000 0.999950 1.000000 0.000017
0.020000 0.000000 0.960400 3.920400 8.880400 0.960400 2.960000 4.960000 0.999800 1.000000 0.000067
0.030000 0.000000 0.940900 3.880900 8.820900 0.940900 2.940000 4.940000 0.999550 1.000000 0.000150
0.040000 0.000000 0.921600 3.841600 8.761600 0.921600 2.920000 4.920000 0.999200 1.000000 0.000267
0.050000 0.000000 0.902500 3.802500 8.702500 0.902500 2.900000 4.900000 0.998750 1.000000 0.000417
0.060000 0.000000 0.883600 3.763600 8.643600 0.883600 2.880000 4.880000 0.998200 1.000000 0.000600
0.070000 0.000000 0.864900 3.724900 8.584900 0.864900 2.860000 4.860000 0.997550 1.000000 0.000817
0.080000 0.000000 0.846400 3.686400 8.526400 0.846400 2.840000 4.840000 0.996800 1.000000 0.001067
0.090000 0.000000 0.828100 3.648100 8.468100 0.828100 2.820000 4.820000 0.995950 1.000000 0.001350
0.100000 0.000000 0.810000 3.610000 8.410000 0.810000 2.800000 4.800000 0.995000 1.000000 0.001667
0.110000 0.000000 0.792100 3.572100 8.352100 0.792100 2.780000 4.780000 0.993950 1.000000 0.002017
0.120000 0.000000 0.774400 3.534400 8.294400 0.774400 2.760000 4.760000 0.992800 1.000000 0.002400
0.130000 0.000000 0.756900 3.496900 8.236900 0.756900 2.740000 4.740000 0.991550 1.000000 0.002817
0.140000 0.000000 0.739600 3.459600 8.179600 0.739600 2.720000 4.720000 0.990200 1.000000 0.003267
0.150000 0.000000 0.722500 3.422500 8.122500 0.722500 2.700000 4.700000 0.988750 1.000000 0.003750
0.160000 0.000000 0.705600 3.385600 8.065600 0.705600 2.680000 4.680000 0.987200 1.000000 0.004267
0.170000 0.000000 0.688900 3.348900 8.008900 0.688900 2.660000 4.660000 0.985550 1.000000 0.004817
0.180000 0.000000 0.672400 3.312400 7.952400 0.672400 2.640000 4.640000 0.983800 1.000000 0.005400
0.190000 0.000000 0.656100 3.276100 7.896100 0.656100 2.620000 4.620000 0.981950 1.000000 0.006017
0.200000 0.000000 0.640000 3.240000 7.840000 0.640000 2.600000 4.600000 0.980000 1.000000 0.006667
0.210000 0.000000 0.624100 3.204100 7.784100 0.624100 2.580000 4.580000 0.977950 1.000000 0.007350
0.220000 0.000000 0.608400 3.168400 7.728400 0.608400 2.560000 4.560000 0.975800 1.000000 0.008067
0.230000 0.000000 0.592900 3.132900 7.672900 0.592900 2.540000 4.540000 0.973550 1.000000 0.008817
0.240000 0.000000 0.577600 3.097600 7.617600 0.577600 2.520000 4.520000 0.971200 1.000000 0.009600
0.250000 0.000000 0.562500 3.062500 7.562500 0.562500 2.500000 4.500000 0.968750 1.000000 0.010417
0.260000 0.000000 0.547600 3.027600 7.507600 0.547600 2.480000 4.480000 0.966200 1.000000 0.011267
0.270000 0.000000 0.532900 2.992900 7.452900 0.532900 2.460000 4.460000 0.963550 1.000000 0.012150
0.280000 0.000000 0.518400 2.958400 7.398400 0.518400 2.440000 4.440000 0.960800 1.000000 0.013067
0.290000 0.000000 0.504100 2.924100 7.344100 0.504100 2.420000 4.420000 0.957950 1.000000 0.014017
0.300000 0.000000 0.490000 2.890000 7.290000 0.490000 2.400000 4.400000 0.955000 1.000000 0.015000
0.310000 0.000000 0.476100 2.856100 7.236100 0.476100 2.380000 4.380000 0.951950 1.000000 0.016017
0.320000 0.000000 0.462400 2.822400 7.182400 0.462400 2.360000 4.360000 0.948800 1.000000 0.017067
0.330000 0.000000 0.448900 2.788900 7.128900 0.448900 2.340000 4.340000 0.945550 1.000000 0.018150
0.340000 0.000000 0.435600 2.755600 7.075600 0.435600 2.320000 4.320000 0.942200 1.000000 0.019267
0.350000 0.000000 0.422500 2.722500 7.022500 0.422500 2.300000 4.300000 0.938750 1.000000 0.020417
0.360000 0.000000 0.409600 2.689600 6.969600 0.409600 2.280000 4.280000 0.935200 1.000000 0.021600
0.370000 0.000000 0.396900 2.656900 6.916900 0.396900 2.260000 4.260000 0.931550 1.000000 0.022817
0.380000 0.000000 0.384400 2.624400 6.864400 0.384400 2.240000 4.240000 0.927800 1.000000 0.024067
0.390000 0.000000 0.372100 2.592100 6.812100 0.372100 2.220000 4.220000 0.923950 1.000000 0.025350
0.400000 0.000000 0.360000 2.560000 6.760000 0.360000 2.200000 4.200000 0.920000 1.000000 0.026667
0.410000 0.000000 0.348100 2.528100 6.708100 0.348100 2.180000 4.180000 0.915950 1.000000 0.028017
0.420000 0.000000 0.336400 2.496400 6.656400 0.336400 2.160000 4.160000 0.911800 1.000000 0.029400
0.430000 0.000000 0.324900 2.464900 6.604900 0.324900 2.140000 4.140000 0.907550 1.000000 0.030817
0.440000 0.000000 0.313600 2.433600 6.553600 0.313600 2.120000 4.120000 0.903200 1.000000 0.032267
0.450000 0.000000 0.302500 2.402500 6.502500 0.302500 2.100000 4.100000 0.898750 1.000000 0.033750
0.460000 0.000000 0.291600 2.371600 6.451600 0.291600 2.080000 4.080000 0.894200 1.000000 0.035267
0.470000 0.000000 0.280900 2.340900 6.400900 0.280900 2.060000 4.060000 0.889550 1.000000 0.036817
0.480000 0.000000 0.270400 2.310400 6.350400 0.270400 2.040000 4.040000 0.884800 1.000000 0.038400
0.490000 0.000000 0.260100 2.280100 6.300100 0.260100 2.020000 4.020000 0.879950 1.000000 0.040017
0.500000 0.000000 0.250000 2.250000 6.250000 0.250000 2.000000 4.000000 0.875000 1.000000 0.041667
0.510000 0.000000 0.240100 2.220100 6.200100 0.240100 1.980000 3.980000 0.869950 1.000000 0.043350
0.520000 0.000000 0.230400 2.190400 6.150400 0.230400 1.960000 3.960000 0.864800 1.000000 0.045067
0.530000 0.000000 0.220900 2.160900 6.100900 0.220900 1.940000 3.940000 0.859550 1.000000 0.046817
0.540000 0.000000 0.211600 2.131600 6.051600 0.211600 1.920000 3.920000 0.854200 1.000000 0.048600
0.550000 0.000000 0.202500 2.102500 6.002500 0.202500 1.900000 3.900000 0.848750 1.000000 0.050417
0.560000 0.000000 0.193600 2.073600 5.953600 0.193600 1.880000 3.880000 0.843200 1.000000 0.052267
0.570000 0.000000 0.184900 2.044900 5.904900 0.184900 1.860000 3.860000 0.837550 1.000000 0.054150
0.580000 0.000000 0.176400 2.016400 5.856400 0.176400 1.840000 3.840000 0.831800 1.000000 0.056067
0.590000 0.000000 0.168100 1.988100 5.808100 0.168100 1.820000 3.820000 0.825950 1.000000 0.058017
0.600000 0.000000 0.160000 1.960000 5.760000 0.160000 1.800000 3.800000 0.820000 1.000000 0.060000
0.610000 0.000000 0.152100 1.932100 5.712100 0.152100 1.780000 3.780000 0.813950 1.000000 0.062017
0.620000 0.000000 0.144400 1.904400 5.664400 0.144400 1.760000 3.760000 0.807800 1.000000 0.064067
0.630000 0.000000 0.136900 1.876900 5.616900 0.136900 1.740000 3.740000 0.801550 1.000000 0.066150
0.640000 0.000000 0.129600 1.849600 5.569600 0.129600 1.720000 3.720000 0.795200 1.000000 0.068267
0.650000 0.000000 0.122500 1.822500 5.522500 0.122500 1.700000 3.700000 0.788750 1.000000 0.070417
0.660000 0.000000 0.115600 1.795600 5.475600 0.115600 1.680000 3.680000 0.782200 1.000000 0.072600
