t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0 0.841471 -3.63385e-13 0.540302 0.841471 -4.03427e-13 0.540302
0.001 0.841371 0.00528698 0.540363 0.841374 0.00513516 0.540362
0.002 0.841259 0.0105731 0.540431 0.841266 0.0102698 0.540427
0.003 0.841126 0.0158577 0.540512 0.841139 0.0154034 0.540505
0.004 0.840959 0.0211397 0.540614 0.840981 0.0205355 0.540601
0.005 0.840749 0.0264185 0.540742 0.840782 0.0256655 0.540722
0.006 0.840483 0.0316932 0.540904 0.840532 0.0307929 0.540874
0.007 0.840151 0.036963 0.541106 0.840222 0.0359172 0.541063
0.008 0.839753 0.042227 0.541349 0.839849 0.0410379 0.54129
0.009 0.839292 0.0474845 0.54163 0.839414 0.0461544 0.541555
0.01 0.838769 0.0527347 0.541948 0.838921 0.0512663 0.541856
0.011 0.838189 0.0579766 0.542302 0.838373 0.056373 0.54219
0.012 0.837555 0.0632096 0.542688 0.837771 0.0614739 0.542556
0.013 0.836869 0.0684328 0.543107 0.837119 0.0665686 0.542954
0.014 0.836132 0.0736453 0.543556 0.836419 0.0716566 0.543381
0.015 0.835345 0.0788465 0.544036 0.83567 0.0767372 0.543837
0.016 0.834505 0.0840354 0.544548 0.834872 0.0818099 0.544324
0.017 0.833614 0.0892112 0.545092 0.834023 0.0868742 0.544842
0.018 0.832669 0.0943732 0.545668 0.833124 0.0919296 0.545391
0.019 0.831671 0.0995206 0.546277 0.832172 0.0969754 0.545972
0.02 0.830619 0.104653 0.54692 0.831168 0.102011 0.546585
0.021 0.829514 0.109768 0.547595 0.830111 0.107036 0.54723
0.022 0.828355 0.114867 0.548303 0.829002 0.11205 0.547908
0.023 0.827143 0.119948 0.549043 0.82784 0.117053 0.548617
0.024 0.825879 0.12501 0.549816 0.826626 0.122043 0.549359
0.025 0.824562 0.130053 0.550621 0.825361 0.12702 0.550133
0.026 0.823194 0.135075 0.551458 0.824043 0.131983 0.550938
0.027 0.821775 0.140077 0.552326 0.822674 0.136933 0.551776
0.028 0.820304 0.145056 0.553226 0.821253 0.141867 0.552646
0.029 0.818782 0.150014 0.554158 0.819779 0.146787 0.553548
