x exact spline
-1 0.0384615 0.0384615
-0.997998 0.03861 0.0382184
-0.995996 0.0387594 0.0379753
-0.993994 0.0389096 0.0377324
-0.991992 0.0390607 0.0374898
-0.98999 0.0392126 0.0372475
-0.987988 0.0393654 0.0370056
-0.985986 0.0395191 0.0367642
-0.983984 0.0396737 0.0365233
-0.981982 0.0398292 0.0362832
-0.97998 0.0399856 0.0360438
-0.977978 0.0401429 0.0358052
-0.975976 0.0403011 0.0355675
-0.973974 0.0404602 0.0353308
-0.971972 0.0406203 0.0350952
-0.96997 0.0407813 0.0348608
-0.967968 0.0409433 0.0346276
-0.965966 0.0411062 0.0343957
-0.963964 0.04127 0.0341652
-0.961962 0.0414349 0.0339362
-0.95996 0.0416007 0.0337088
-0.957958 0.0417675 0.0334831
-0.955956 0.0419352 0.0332591
-0.953954 0.042104 0.0330369
-0.951952 0.0422738 0.0328166
-0.94995 0.0424446 0.0325983
-0.947948 0.0426164 0.0323821
-0.945946 0.0427893 0.032168
-0.943944 0.0429632 0.0319562
-0.941942 0.0431381 0.0317467
-0.93994 0.0433141 0.0315396
-0.937938 0.0434911 0.0313349
-0.935936 0.0436693 0.0311329
-0.933934 0.0438485 0.0309335
-0.931932 0.0440288 0.0307368
-0.92993 0.0442101 0.030543
-0.927928 0.0443926 0.030352
-0.925926 0.0445763 0.030164
-0.923924 0.044761 0.0299791
-0.921922 0.0449468 0.0297974
-0.91992 0.0451339 0.0296188
-0.917918 0.045322 0.0294436
-0.915916 0.0455113 0.0292718
-0.913914 0.0457018 0.0291035
-0.911912 0.0458935 0.0289387
-0.90991 0.0460863 0.0287775
-0.907908 0.0462804 0.0286201
-0.905906 0.0464757 0.0284665
-0.903904 0.0466721 0.0283168
-0.901902 0.0468699 0.0281711
-0.8999 0.0470688 0.0280295
-0.897898 0.047269 0.0278919
-0.895896 0.0474705 0.0277586
-0.893894 0.0476732 0.0276296
-0.891892 0.0478772 0.027505
-0.88989 0.0480825 0.0273849
-0.887888 0.0482891 0.0272693
-0.885886 0.048497 0.0271584
-0.883884 0.0487062 0.0270522
-0.881882 0.0489168 0.0269508
-0.87988 0.0491287 0.0268543
-0.877878 0.0493419 0.0267627
-0.875876 0.0495566 0.0266762
-0.873874 0.0497726 0.0265949
-0.871872 0.04999 0.0265187
-0.86987 0.0502088 0.0264479
-0.867868 0.050429 0.0263824
-0.865866 0.0506506 0.0263224
-0.863864 0.0508737 0.026268
-0.861862 0.0510982 0.0262192
-0.85986 0.0513242 0.0261761
-0.857858 0.0515517 0.0261388
-0.855856 0.0517807 0.0261074
-0.853854 0.0520111 0.026082
-0.851852 0.0522431 0.0260626
-0.84985 0.0524766 0.0260493
-0.847848 0.0527116 0.0260423
-0.845846 0.0529482 0.0260415
-0.843844 0.0531864 0.0260471
-0.841842 0.0534261 0.0260592
-0.83984 0.0536674 0.0260778
-0.837838 0.0539104 0.0261031
-0.835836 0.0541549 0.0261351
-0.833834 0.0544011 0.0261738
-0.831832 0.054649 0.0262195
-0.82983 0.0548985 0.0262721
-0.827828 0.0551497 0.0263317
-0.825826 0.0554026 0.0263984
-0.823824 0.0556572 0.0264724
-0.821822 0.0559135 0.0265537
-0.81982 0.0561715 0.0266423
-0.817818 0.0564313 0.0267384
-0.815816 0.0566929 0.026842
-0.813814 0.0569563 0.0269532
-0.811812 0.0572215 0.0270722
-0.80981 0.0574885 0.0271989
-0.807808 0.0577573 0.0273335
-0.805806 0.0580279 0.0274761
-0.803804 0.0583005 0.0276267
-0.801802 0.0585749 0.0277854
-0.7998 0.0588512 0.0279523
-0.797798 0.0591295 0.0281275
-0.795796 0.0594097 0.028311
-0.793794 0.0596918 0.0285031
-0.791792 0.0599759 0.0287036
-0.78979 0.060262 0.0289128
-0.787788 0.0605501 0.0291306
-0.785786 0.0608403 0.0293572
-0.783784 0.0611324 0.0295927
-0.781782 0.0614267 0.0298372
-0.77978 0.061723 0.0300907
-0.777778 0.0620214 0.0303533
-0.775776 0.062322 0.0306251
-0.773774 0.0626247 0.0309061
-0.771772 0.0629295 0.0311965
-0.76977 0.0632366 0.0314964
-0.767768 0.0635458 0.0318058
-0.765766 0.0638572 0.0321248
-0.763764 0.0641709 0.0324535
-0.761762 0.0644869 0.032792
-0.75976 0.0648052 0.0331403
-0.757758 0.0651257 0.0334986
-0.755756 0.0654486 0.0338669
-0.753754 0.0657738 0.0342453
-0.751752 0.0661014 0.0346338
-0.74975 0.0664314 0.0350327
-0.747748 0.0667638 0.0354419
-0.745746 0.0670987 0.0358616
-0.743744 0.067436 0.0362918
-0.741742 0.0677758 0.0367325
-0.73974 0.0681182 0.037184
-0.737738 0.068463 0.0376462
-0.735736 0.0688104 0.0381193
-0.733734 0.0691605 0.0386033
-0.731732 0.0695131 0.0390984
-0.72973 0.0698683 0.0396045
-0.727728 0.0702262 0.0401218
-0.725726 0.0705868 0.0406504
-0.723724 0.0709502 0.0411904
-0.721722 0.0713162 0.0417417
-0.71972 0.071685 0.0423046
-0.717718 0.0720567 0.0428791
-0.715716 0.0724311 0.0434652
-0.713714 0.0728084 0.0440632
-0.711712 0.0731886 0.0446729
-0.70971 0.0735716 0.0452946
-0.707708 0.0739576 0.0459283
-0.705706 0.0743466 0.0465741
-0.703704 0.0747386 0.0472321
-0.701702 0.0751336 0.0479024
-0.6997 0.0755316 0.048585
-0.697698 0.0759327 0.04928
-0.695696 0.076337 0.0499875
-0.693694 0.0767444 0.0507076
-0.691692 0.0771549 0.0514404
-0.68969 0.0775687 0.0521859
-0.687688 0.0779857 0.0529443
-0.685686 0.078406 0.0537156
-0.683684 0.0788296 0.0544999
-0.681682 0.0792566 0.0552973
-0.67968 0.0796869 0.0561079
-0.677678 0.0801207 0.0569317
-0.675676 0.0805578 0.0577689
-0.673674 0.0809985 0.0586195
-0.671672 0.0814427 0.0594836
-0.66967 0.0818904 0.0603612
-0.667668 0.0823418 0.0612526
-0.665666 0.0827967 0.0621577
-0.663664 0.0832554 0.0630766
-0.661662 0.0837177 0.0640094
-0.65966 0.0841838 0.0649563
-0.657658 0.0846536 0.0659172
-0.655656 0.0851273 0.0668923
-0.653654 0.0856049 0.0678816
-0.651652 0.0860863 0.0688853
-0.64965 0.0865717 0.0699034
-0.647648 0.0870611 0.070936
-0.645646 0.0875545 0.0719831
-0.643644 0.088052 0.073045
-0.641642 0.0885536 0.0741215
-0.63964 0.0890593 0.0752129
-0.637638 0.0895693 0.0763192
-0.635636 0.0900835 0.0774405
-0.633634 0.090602 0.0785769
-0.631632 0.0911248 0.0797285
-0.62963 0.091652 0.0808952
-0.627628 0.0921836 0.0820774
-0.625626 0.0927198 0.0832749
-0.623624 0.0932604 0.0844879
-0.621622 0.0938057 0.0857165
-0.61962 0.0943555 0.0869607
-0.617618 0.0949101 0.0882207
-0.615616 0.0954694 0.0894965
-0.613614 0.0960334 0.0907882
-0.611612 0.0966023 0.0920959
-0.60961 0.0971761 0.0934196
-0.607608 0.0977548 0.0947595
-0.605606 0.0983385 0.0961157
-0.603604 0.0989273 0.0974882
-0.601602 0.0995212 0.098877
-0.5996 0.10012 0.100282
-0.597598 0.100724 0.101704
-0.595596 0.101334 0.103142
-0.593594 0.101949 0.104597
-0.591592 0.102569 0.106067
-0.58959 0.103195 0.107554
-0.587588 0.103826 0.109056
-0.585586 0.104463 0.110573
-0.583584 0.105106 0.112106
-0.581582 0.105754 0.113655
-0.57958 0.106408 0.115218
-0.577578 0.107068 0.116796
-0.575576 0.107733 0.118389
-0.573574 0.108405 0.119997
-0.571572 0.109083 0.121619
-0.56957 0.109767 0.123255
-0.567568 0.110457 0.124906
-0.565566 0.111153 0.12657
-0.563564 0.111856 0.128249
-0.561562 0.112565 0.129941
-0.55956 0.11328 0.131646
-0.557558 0.114002 0.133365
-0.555556 0.114731 0.135097
-0.553554 0.115466 0.136842
-0.551552 0.116208 0.138599
-0.54955 0.116957 0.14037
-0.547548 0.117713 0.142153
-0.545546 0.118476 0.143948
-0.543544 0.119247 0.145756
-0.541542 0.120024 0.147575
-0.53954 0.120808 0.149407
-0.537538 0.1216 0.15125
-0.535536 0.1224 0.153105
-0.533534 0.123207 0.154971
-0.531532 0.124021 0.156848
-0.52953 0.124843 0.158737
-0.527528 0.125673 0.160636
-0.525526 0.126511 0.162547
-0.523524 0.127357 0.164468
-0.521522 0.128211 0.166399
-0.51952 0.129074 0.168341
-0.517518 0.129944 0.170292
-0.515516 0.130823 0.172254
-0.513514 0.131711 0.174226
-0.511512 0.132607 0.176207
-0.50951 0.133511 0.178198
-0.507508 0.134425 0.180198
-0.505506 0.135347 0.182207
-0.503504 0.136279 0.184225
-0.501502 0.13722 0.186252
-0.499499 0.138169 0.188288
-0.497497 0.139129 0.190332
-0.495495 0.140097 0.192385
-0.493493 0.141076 0.194446
-0.491491 0.142064 0.196515
-0.489489 0.143062 0.198592
-0.487487 0.144069 0.200677
-0.485485 0.145087 0.202769
-0.483483 0.146115 0.204869
-0.481481 0.147154 0.206976
-0.479479 0.148203 0.20909
-0.477477 0.149262 0.211211
-0.475475 0.150332 0.213338
-0.473473 0.151414 0.215473
-0.471471 0.152506 0.217614
-0.469469 0.153609 0.219761
-0.467467 0.154723 0.221914
-0.465465 0.155849 0.224073
-0.463463 0.156987 0.226238
-0.461461 0.158136 0.228409
-0.459459 0.159297 0.230586
-0.457457 0.16047 0.232767
-0.455455 0.161656 0.234954
-0.453453 0.162853 0.237146
-0.451451 0.164063 0.239343
-0.449449 0.165286 0.241544
-0.447447 0.166522 0.24375
-0.445445 0.16777 0.24596
-0.443443 0.169032 0.248175
-0.441441 0.170307 0.250394
-0.439439 0.171595 0.252616
-0.437437 0.172897 0.254843
-0.435435 0.174213 0.257073
-0.433433 0.175543 0.259306
-0.431431 0.176887 0.261543
-0.429429 0.178245 0.263782
-0.427427 0.179619 0.266025
-0.425425 0.181006 0.268271
-0.423423 0.182409 0.270519
-0.421421 0.183827 0.272769
-0.419419 0.18526 0.275022
-0.417417 0.186709 0.277277
-0.415415 0.188173 0.279534
-0.413413 0.189654 0.281793
-0.411411 0.19115 0.284054
-0.409409 0.192663 0.286316
-0.407407 0.194193 0.28858
-0.405405 0.195739 0.290844
-0.403403 0.197303 0.29311
-0.401401 0.198883 0.295377
-0.399399 0.200481 0.297644
-0.397397 0.202097 0.299912
-0.395395 0.203731 0.30218
-0.393393 0.205383 0.304449
-0.391391 0.207053 0.306717
-0.389389 0.208742 0.308986
-0.387387 0.21045 0.311254
-0.385385 0.212177 0.313522
-0.383383 0.213923 0.315789
-0.381381 0.21569 0.318056
-0.379379 0.217476 0.320322
-0.377377 0.219282 0.322586
-0.375375 0.221108 0.32485
-0.373373 0.222956 0.327112
-0.371371 0.224824 0.329373
-0.369369 0.226714 0.331632
-0.367367 0.228625 0.333889
-0.365365 0.230558 0.336144
-0.363363 0.232514 0.338397
-0.361361 0.234491 0.340647
-0.359359 0.236492 0.342896
-0.357357 0.238515 0.345141
-0.355355 0.240562 0.347384
-0.353353 0.242632 0.349624
-0.351351 0.244726 0.351861
-0.349349 0.246845 0.354094
-0.347347 0.248988 0.356324
