x exact linear quadratic cubic
0 0 0 0 0
0.0315738 0.0315685 nan 0.00131476 0.00241764
0.0631476 0.0631056 nan 0.00525904 0.00946158
0.0947214 0.0945798 nan 0.0118328 0.0208184
0.126295 0.12596 nan 0.0210362 0.0361746
0.157869 0.157214 nan 0.032869 0.0552167
0.189443 0.188312 nan 0.0473313 0.0776314
0.221017 0.219222 nan 0.0644232 0.103105
0.25259 0.249913 nan 0.0841446 0.131324
0.284164 0.280355 nan 0.106496 0.161976
0.315738 0.310518 nan 0.131476 0.194746
0.347312 0.340371 nan 0.159086 0.229322
0.378886 0.369885 nan 0.189325 0.265389
0.410459 0.399031 nan 0.222194 0.302635
0.442033 0.427778 nan 0.257693 0.340745
0.473607 0.456099 nan 0.295821 0.379407
0.505181 0.483966 nan 0.336578 0.418307
0.536755 0.51135 nan 0.379966 0.457132
0.568328 0.538224 nan 0.425982 0.495568
0.599902 0.564562 nan 0.474628 0.533301
0.631476 0.590337 nan 0.525904 0.570019
0.66305 0.615523 nan 0.579809 0.605407
0.694624 0.640096 nan 0.636344 0.639153
0.726197 0.664031 nan 0.692944 0.670986
0.757771 0.687304 nan 0.745725 0.700882
0.789345 0.709892 nan 0.794645 0.7289
0.820919 0.731772 nan 0.839706 0.7551
0.852492 0.752923 nan 0.880907 0.779542
0.884066 0.773323 nan 0.918248 0.802285
0.91564 0.792953 nan 0.951729 0.82339
0.947214 0.811792 nan 0.981351 0.842917
0.978788 0.829821 nan 1.00711 0.860925
1.01036 0.847024 nan 1.02901 0.877474
1.04194 0.863382 nan 1.04705 0.892625
1.07351 0.87888 nan 1.06124 0.906436
1.10508 0.893501 nan 1.07156 0.918968
1.13666 0.907232 nan 1.07802 0.930281
1.16823 0.920059 nan 1.08062 0.940435
1.1998 0.931968 nan 1.07936 0.949489
1.23138 0.942948 nan 1.07425 0.957504
1.26295 0.952989 nan 1.06527 0.964538
1.29453 0.962079 nan 1.05243 0.970653
1.3261 0.970211 nan 1.03573 0.975908
1.35767 0.977375 nan 1.01518 0.980362
1.38925 0.983565 nan 0.990758 0.984077
1.42082 0.988775 nan 0.964246 0.987105
1.45239 0.992999 nan 0.939564 0.989454
1.48397 0.996233 nan 0.916857 0.99111
1.51554 0.998474 nan 0.896125 0.992057
1.54712 0.99972 nan 0.877368 0.992281
1.57869 0.999969 nan 0.860586 0.991767
1.61026 0.999221 nan 0.845778 0.9905
1.64184 0.997478 nan 0.832946 0.988466
1.67341 0.99474 nan 0.822088 0.985648
1.70498 0.99101 nan 0.813205 0.982033
1.73656 0.986293 nan 0.806297 0.977605
1.76813 0.980592 nan 0.801364 0.97235
1.79971 0.973914 nan 0.798405 0.966253
1.83128 0.966265 nan 0.797422 0.959299
1.86285 0.957653 nan 0.798413 0.951472
1.89443 0.948087 nan 0.801379 0.94276
1.926 0.937575 nan 0.80632 0.933145
1.95758 0.926129 nan 0.813236 0.922614
1.98915 0.913759 nan 0.822127 0.911151
2.02072 0.900479 nan 0.832992 0.898743
2.0523 0.886301 nan 0.845833 0.885373
2.08387 0.87124 nan 0.860648 0.871027
2.11544 0.85531 nan 0.876192 0.855692
2.14702 0.838527 nan 0.888415 0.839383
2.17859 0.820909 nan 0.897006 0.822128
2.21017 0.802472 nan 0.901964 0.803958
2.24174 0.783236 nan 0.903289 0.784905
2.27331 0.763218 nan 0.900982 0.764997
2.30489 0.74244 nan 0.895042 0.744267
2.33646 0.720922 nan 0.88547 0.722743
2.36803 0.698685 nan 0.872265 0.700457
2.39961 0.675752 nan 0.855428 0.677439
2.43118 0.652145 nan 0.834958 0.65372
2.46276 0.627888 nan 0.810856 0.629329
2.49433 0.603005 nan 0.783121 0.604298
2.5259 0.577521 nan 0.751753 0.578656
2.55748 0.551462 nan 0.716754 0.552435
2.58905 0.524852 nan 0.678121 0.525664
2.62063 0.49772 nan 0.635856 0.498375
2.6522 0.470091 nan 0.589958 0.470597
2.68377 0.441994 nan 0.540428 0.442361
2.71535 0.413456 nan 0.487266 0.413697
2.74692 0.384506 nan 0.430471 0.384636
2.77849 0.355173 nan 0.370043 0.355209
2.81007 0.325485 nan 0.307003 0.325445
2.84164 0.295473 nan 0.246288 0.295375
2.87322 0.265167 nan 0.18855 0.265027
2.90479 0.234597 nan 0.133791 0.234431
2.93636 0.203792 nan 0.0820095 0.203616
2.96794 0.172784 nan 0.0332058 0.172612
2.99951 0.141605 nan -0.01262 0.141447
3.03108 0.110283 nan -0.055468 0.11015
3.06266 0.0788525 nan -0.0953381 0.0787519
3.09423 0.047343 nan -0.13223 0.0472803
3.12581 0.0157862 nan -0.166145 0.015765
3.15738 -0.0157862 nan -0.197081 -0.015765
3.18895 -0.047343 nan -0.22504 -0.0472803
3.22053 -0.0788525 nan -0.250021 -0.0787519
3.2521 -0.110283 nan -0.272023 -0.11015
3.28367 -0.141605 nan -0.291048 -0.141447
3.31525 -0.172784 nan -0.307096 -0.172612
3.34682 -0.203792 nan -0.320165 -0.203616
3.3784 -0.234597 nan -0.330256 -0.234431
