x exact linear cubic
0 0 0 -8.81131e-15
0.1 0.01 0.1 0.0575714
0.2 0.04 0.2 0.117714
0.3 0.09 0.3 0.183
0.4 0.16 0.4 0.256
0.5 0.25 0.5 0.339286
0.6 0.36 0.6 0.435429
0.7 0.49 0.7 0.547
0.8 0.64 0.8 0.676571
0.9 0.81 0.9 0.826714
1 1 1 1
1.1 1.21 1.3 1.19843
1.2 1.44 1.6 1.42171
1.3 1.69 1.9 1.669
1.4 1.96 2.2 1.93943
1.5 2.25 2.5 2.23214
1.6 2.56 2.8 2.54629
1.7 2.89 3.1 2.881
1.8 3.24 3.4 3.23543
1.9 3.61 3.7 3.60871
2 4 4 4
2.1 4.41 4.5 4.40871
2.2 4.84 5 4.83543
2.3 5.29 5.5 5.281
2.4 5.76 6 5.74629
2.5 6.25 6.5 6.23214
2.6 6.76 7 6.73943
2.7 7.29 7.5 7.269
2.8 7.84 8 7.82171
2.9 8.41 8.5 8.39843
3 9 9 9
3.1 9.61 9.7 9.62671
3.2 10.24 10.4 10.2766
3.3 10.89 11.1 10.947
3.4 11.56 11.8 11.6354
3.5 12.25 12.5 12.3393
3.6 12.96 13.2 13.056
3.7 13.69 13.9 13.783
3.8 14.44 14.6 14.5177
3.9 15.21 15.3 15.2576
